"Date","Open","High","Low","Close","Adj Close","Volume"
"2021-10-11","4.4","4.49","4.4","4.4","4.22905","10600"
"2021-10-12","4.588","4.588","4.588","4.588","4.409746","400"
"2021-10-13","4.32","4.32","4.32","4.32","4.152159","3100"
"2021-10-14","4.45","4.59","4.45","4.59","4.411668","500"
"2021-10-15","4.36","4.375","4.36","4.375","4.205021","159300"
"2021-10-18","4.32","4.32","4.32","4.32","4.152159","200"
"2021-10-19","4.59","4.59","4.588","4.588","4.409746","1800"
"2021-10-20","4.315","4.315","4.315","4.315","4.147353","3700"
"2021-10-21","4.438","4.438","4.438","4.438","4.265574","800"
"2021-10-22","4.33","4.43","4.33","4.43","4.257885","600"
"2021-10-25","4.15","4.43","4.15","4.29","4.123324","21600"
"2021-10-26","4.436","4.436","4.31","4.31","4.142547","1700"
"2021-10-28","4.327","4.327","4.205","4.205","4.041626","300"
"2021-10-29","4.34","4.34","4.188","4.188","4.025287","500"
"2021-11-01","4.278","4.28","4.278","4.28","4.113713","3100"
"2021-11-02","3.95","4.21","3.95","4.21","4.046432","3300"
"2021-11-03","4.02","4.02","4.02","4.02","3.863814","2800"
"2021-11-04","4.023","4.201","4.023","4.201","4.037782","1400"
"2021-11-05","4.25","4.25","4.175","4.175","4.012792","900"
"2021-11-08","4.288","4.288","4.288","4.288","4.121402","300"
"2021-11-09","4.185","4.185","4.185","4.185","4.022403","500"
"2021-11-10","4.18","4.18","4.07","4.07","3.911872","3400"
"2021-11-11","4.115","4.2","4.03","4.2","4.03682","7800"
"2021-11-12","4.04","4.04","4.04","4.04","3.883037","1100"
"2021-11-15","4.098","4.1","4.098","4.1","3.940706","2400"
"2021-11-16","4.055","4.1","4.01","4.1","3.940706","2900"
"2021-11-17","3.98","3.98","3.953","3.953","3.799417","1600"
"2021-11-18","3.965","3.965","3.965","3.965","3.810951","300"
"2021-11-19","4.095","4.19","4","4","3.844591","5400"
"2021-11-22","4.06","4.085","4.06","4.085","3.926289","900"
"2021-11-23","4.04","4.16","4.04","4.16","3.998374","1200"
"2021-11-24","4.085","4.19","4.085","4.19","4.027209","400"
"2021-11-26","4","4.045","4","4.045","3.887843","600"
