"Date","Open","High","Low","Close","Adj Close","Volume"
"2023-05-03","2.392","2.392","2.392","2.392","2.33958","600"
"2023-05-04","2.445","2.445","2.445","2.445","2.391419","2400"
"2023-05-05","2.47","2.47","2.448","2.448","2.394353","20100"
"2023-05-08","2.419","2.419","2.419","2.419","2.365988","1600"
"2023-05-09","2.565","2.565","2.5","2.55","2.494117","700"
"2023-05-10","2.55","2.6","2.5","2.5","2.445213","4800"
"2023-05-11","2.61","2.61","2.61","2.61","2.552803","700"
"2023-05-12","2.616","2.616","2.56","2.56","2.503898","400"
"2023-05-15","2.57","2.575","2.53","2.53","2.474556","4800"
"2023-05-16","2.599","2.599","2.574","2.574","2.517591","400"
"2023-05-17","2.673","2.77","2.51","2.601","2.544","3700"
"2023-05-18","2.608","2.608","2.568","2.58","2.58","700"
"2023-05-19","2.63","2.68","2.6","2.68","2.68","68500"
"2023-05-22","2.61","2.71","2.61","2.71","2.71","15300"
"2023-05-23","2.48","2.7","2.48","2.66","2.66","6300"
"2023-05-24","2.51","2.61","2.51","2.61","2.61","1500"
"2023-05-25","2.601","2.601","2.5","2.5","2.5","3500"
"2023-05-26","2.5","2.541","2.43","2.43","2.43","900"
"2023-05-30","2.595","2.653","2.48","2.48","2.48","1100"
"2023-05-31","2.6","2.6","2.6","2.6","2.6","18300"
"2023-06-01","2.56","2.56","2.56","2.56","2.56","800"
"2023-06-05","2.621","2.621","2.53","2.6","2.6","1300"
"2023-06-07","2.691","2.691","2.691","2.691","2.691","800"
"2023-06-08","2.74","2.84","2.74","2.84","2.84","1200"
"2023-06-09","2.73","2.745","2.68","2.73","2.73","2500"
"2023-06-12","2.715","2.715","2.715","2.715","2.715","1000"
"2023-06-13","2.71","2.71","2.71","2.71","2.71","3200"
